formula,target
Cd2Fe4O8,3.049424
Cu4Ga4O8,0.555895
Ge4Na2O12V2,3.167561
Cl12F8Sb4,3.0216985000000003
Ge4Mn2O14Sr4,3.17008
O22Ti12,0.311223
Br8Mn8Sb8Se16,1.794253
Mn3Nb6O11,1.260406
Cd1Cr2H4K2O10,3.933555
Mo4O24Pb4Se4,2.780396
Ba3Cl2O5Tl2,0.07078
Fe4O24V6Zn3,3.297063
Bi4Ga8Se16,2.6708930000000004
Be2C1,1.911624
Ag2Ba1Ge1S4,1.633857
Co2Na2O4,2.118441
P8Pd4,1.021545
K3O14V5,3.249732
Cu4Mg2S8Si2,2.9865469999999994
Cl12H10O4Sb2,3.153605
Cr1O6Sr2Ta1,3.796337
Ag4C10Fe2N12O2,2.7670570000000003
Ce2K4O16P4,2.98465
Bi2S1Te2,0.28903
Ag2La6Se14Si2,2.4686570000000003
Ga8Ge4S24Sn4,2.122641
Na4P4S12,3.078076
C10Co1H14N8O2,3.926857
Ba2Be4N4,2.302553
Bi4Mn6O4Sr4,1.135146
F28Re4,3.5635
Cu1N6O12Pb1Rb2,1.821872
In2P2,1.192457
Cu1Na1O1,0.071924
O24Sn12W4,2.749322
F2Hg2,2.550732
C4Hg1N4Se4Zn1,3.298834
Cl12Mo2Na6,3.765039
Ge1O3Pb1,0.793295
Cd4F20Mn4,3.142891
C1I4,1.824437
As4H4O20Sr4Zn4,4.5498840000000005
As6Cs18,0.34036
H4O12P4Tl4,4.582641
C4Cs4H4N8O8,2.770811
Br4Hg8P12,1.6127220000000002
Lu8Pb4S16,2.887463
H12Li4O12Sn2,2.432595
As6Br2Hg4,1.441833
Ba1N1O2Ta1,1.449143
La3Mn2O14Sb3,2.186179
K16Si16,1.678455
Ge2S16V8,1.035885
O8Sn6,0.357775
I6Y2,4.027844
Pd1Sn1Zr1,0.297793
Cu4F12Rb4,4.823457
Mg4O20V8,3.607768
Cl8Zn4,5.887939
As4Ni4O14,4.116455
S8V6,0.952686
F10K4Pd2Rb2,4.505492
Au4Rb8S16Sb4,2.179053
Cd2Ge2Li4O8,3.984117
Cu6La4Mn1S10,2.469059
Hf4La8Se20,1.448452
Ag2Ga2Se4,1.236868
Ba12Ga8N16,2.4974580000000004
Cd1F6Pt1,4.197803
H8Li4N4Sr8,2.408727
Ba2N2Zn1,1.247397
Mg1Se1,2.627516
Br4C4Fe1H12P1,3.170543
Cu1H12N4O8Re2,3.800263
Br4Co2,3.552701
As4Ni2O12,4.056883
La2Mg1Mn1O6,3.229018
Cl16F4Sb4,2.645361
Al2As8Ca6Na6,1.552175
As2Cu2F14,4.765879
Ge12Ru8,0.651829
Fe4La4O12,1.470034
Ga4Li4S8,4.075446
Ba8Se20Sn4,2.064662
Cd1Cu2Ge1Te4,0.493351
Hf2S6,1.861348
Cl28I4S4,2.864626
Ga4Os2,1.285421
Ba4Se8Si2,3.160398
Be2Li2P2,1.802117
Li4N16O2Si8Sr8,3.756374
C4Cu2K4O12,3.622005
Cu2H4O12Se4,3.638816
Mn2Na10O8,2.783775
Ag4Hg2S4,1.3364869999999995
Ba2P20,1.890551
Cu1F3K1,2.089942
Cr16O56Sr8,3.621285
F12Hg4Ni4S2,2.980502
Fe2K6O5,2.640353
